course_id,room_id,day,session,assigned
0,0,5,12,1.0
0,0,5,13,1.0
0,1,5,12,0.0
0,1,5,13,0.0
1,0,1,6,0.0
1,0,1,7,0.0
1,0,1,8,0.0
1,0,4,6,0.0
1,0,4,7,0.0
1,0,4,8,0.0
1,1,1,6,0.0
1,1,1,7,0.0
1,1,1,8,0.0
1,1,4,6,0.0
1,1,4,7,0.0
1,1,4,8,0.0
1,2,1,6,1.0
1,2,1,7,1.0
1,2,1,8,1.0
1,2,4,6,1.0
1,2,4,7,1.0
1,2,4,8,1.0
1,20,1,6,0.0
1,20,1,7,0.0
1,20,1,8,0.0
1,20,4,6,0.0
1,20,4,7,0.0
1,20,4,8,0.0
1,26,1,6,0.0
1,26,1,7,0.0
1,26,1,8,0.0
1,26,4,6,0.0
1,26,4,7,0.0
1,26,4,8,0.0
2,0,1,9,1.0
2,0,1,10,1.0
2,0,1,11,1.0
2,0,4,9,1.0
2,0,4,10,1.0
2,0,4,11,1.0
2,1,1,9,0.0
2,1,1,10,0.0
2,1,1,11,0.0
2,1,4,9,0.0
2,1,4,10,0.0
2,1,4,11,0.0
2,2,1,9,0.0
2,2,1,10,0.0
2,2,1,11,0.0
2,2,4,9,0.0
2,2,4,10,0.0
2,2,4,11,0.0
2,20,1,9,0.0
2,20,1,10,0.0
2,20,1,11,0.0
2,20,4,9,0.0
2,20,4,10,0.0
2,20,4,11,0.0
2,26,1,9,0.0
2,26,1,10,0.0
2,26,1,11,0.0
2,26,4,9,0.0
2,26,4,10,0.0
2,26,4,11,0.0
3,0,1,6,1.0
3,0,1,7,1.0
3,0,1,8,1.0
3,0,4,6,1.0
3,0,4,7,1.0
3,0,4,8,1.0
3,1,1,6,0.0
3,1,1,7,0.0
3,1,1,8,0.0
3,1,4,6,0.0
3,1,4,7,0.0
3,1,4,8,0.0
3,2,1,6,0.0
3,2,1,7,0.0
3,2,1,8,0.0
3,2,4,6,0.0
3,2,4,7,0.0
3,2,4,8,0.0
3,20,1,6,0.0
3,20,1,7,0.0
3,20,1,8,0.0
3,20,4,6,0.0
3,20,4,7,0.0
3,20,4,8,0.0
3,26,1,6,0.0
3,26,1,7,0.0
3,26,1,8,0.0
3,26,4,6,0.0
3,26,4,7,0.0
3,26,4,8,0.0
4,0,1,12,0.0
4,0,1,13,0.0
4,0,1,14,0.0
4,0,4,12,0.0
4,0,4,13,0.0
4,0,4,14,0.0
4,1,1,12,0.0
4,1,1,13,0.0
4,1,1,14,0.0
4,1,4,12,0.0
4,1,4,13,0.0
4,1,4,14,0.0
4,2,1,12,0.0
4,2,1,13,0.0
4,2,1,14,0.0
4,2,4,12,0.0
4,2,4,13,0.0
4,2,4,14,0.0
4,20,1,12,0.0
4,20,1,13,0.0
4,20,1,14,0.0
4,20,4,12,0.0
4,20,4,13,0.0
4,20,4,14,0.0
4,26,1,12,0.0
4,26,1,13,0.0
4,26,1,14,0.0
4,26,4,12,0.0
4,26,4,13,0.0
4,26,4,14,0.0
4,43,1,12,1.0
4,43,1,13,1.0
4,43,1,14,1.0
4,43,4,12,1.0
4,43,4,13,1.0
4,43,4,14,1.0
5,0,0,12,1.0
5,0,0,13,1.0
5,0,0,14,1.0
5,0,2,12,1.0
5,0,2,13,1.0
5,0,2,14,1.0
5,1,0,12,0.0
5,1,0,13,0.0
5,1,0,14,0.0
5,1,2,12,0.0
5,1,2,13,0.0
5,1,2,14,0.0
5,2,0,12,0.0
5,2,0,13,0.0
5,2,0,14,0.0
5,2,2,12,0.0
5,2,2,13,0.0
5,2,2,14,0.0
5,3,0,12,0.0
5,3,0,13,0.0
5,3,0,14,0.0
5,3,2,12,0.0
5,3,2,13,0.0
5,3,2,14,0.0
5,20,0,12,0.0
5,20,0,13,0.0
5,20,0,14,0.0
5,20,2,12,0.0
5,20,2,13,0.0
5,20,2,14,0.0
5,26,0,12,0.0
5,26,0,13,0.0
5,26,0,14,0.0
5,26,2,12,0.0
5,26,2,13,0.0
5,26,2,14,0.0
5,43,0,12,0.0
5,43,0,13,0.0
5,43,0,14,0.0
5,43,2,12,0.0
5,43,2,13,0.0
5,43,2,14,0.0
5,48,0,12,0.0
5,48,0,13,0.0
5,48,0,14,0.0
5,48,2,12,0.0
5,48,2,13,0.0
5,48,2,14,0.0
6,0,0,15,0.0
6,0,0,16,0.0
6,0,0,17,0.0
6,0,2,15,0.0
6,0,2,16,0.0
6,0,2,17,0.0
6,1,0,15,0.0
6,1,0,16,0.0
6,1,0,17,0.0
6,1,2,15,0.0
6,1,2,16,0.0
6,1,2,17,0.0
6,2,0,15,0.0
6,2,0,16,0.0
6,2,0,17,0.0
6,2,2,15,0.0
6,2,2,16,0.0
6,2,2,17,0.0
6,3,0,15,0.0
6,3,0,16,0.0
6,3,0,17,0.0
6,3,2,15,0.0
6,3,2,16,0.0
6,3,2,17,0.0
6,20,0,15,0.0
6,20,0,16,0.0
6,20,0,17,0.0
6,20,2,15,0.0
6,20,2,16,0.0
6,20,2,17,0.0
6,26,0,15,0.0
6,26,0,16,0.0
6,26,0,17,0.0
6,26,2,15,0.0
6,26,2,16,0.0
6,26,2,17,0.0
6,43,0,15,0.0
6,43,0,16,0.0
6,43,0,17,0.0
6,43,2,15,0.0
6,43,2,16,0.0
6,43,2,17,0.0
6,48,0,15,1.0
6,48,0,16,1.0
6,48,0,17,1.0
6,48,2,15,1.0
6,48,2,16,1.0
6,48,2,17,1.0
7,0,0,18,0.0
7,0,0,19,0.0
7,0,0,20,0.0
7,0,2,18,0.0
7,0,2,19,0.0
7,0,2,20,0.0
7,1,0,18,0.0
7,1,0,19,0.0
7,1,0,20,0.0
7,1,2,18,0.0
7,1,2,19,0.0
7,1,2,20,0.0
7,2,0,18,0.0
7,2,0,19,0.0
7,2,0,20,0.0
7,2,2,18,0.0
7,2,2,19,0.0
7,2,2,20,0.0
7,3,0,18,0.0
7,3,0,19,0.0
7,3,0,20,0.0
7,3,2,18,0.0
7,3,2,19,0.0
